Event,Mean,StDev,Score
2019azpx,13.720991420734203,18.41966758297338,0.7449098285257602
2019mabos,21.878733822690414,29.6020731756558,0.7390946469480077
2019mosl,12.913507028615753,17.48716762911618,0.738456181269443
2019caav,17.9576253099866,24.675945070153624,0.7277380971198119
2019txpla,13.221756785835847,18.199363828292555,0.7264955473488273
2019ilch,16.58472799455649,22.857958039480778,0.725555973368705
2019onosh,18.380466601367555,25.58909177407805,0.7182930431312576
2019nyny,15.40484755919921,21.709401356286328,0.7095933833633083
2019gacol,21.283247975424022,30.25521296403981,0.7034572191152803
2019cthar,19.80069537069219,28.473985738455,0.6953959853941606
2019txdel,15.365590269607909,22.127966446605356,0.6943968532619109
2019mitry,19.83473956531309,28.595905231237946,0.6936216708273943
2019txsan,11.233796383893218,16.209128355498226,0.6930537002060726
2019mijac,15.768190169422141,22.851907044291295,0.6900163797647357
2019flor,16.403483935634977,23.931962833343874,0.6854215865980021
2019miliv,11.172605726556254,16.45683571802778,0.6789036433241616
2019alhu,17.326326160701427,25.583733843914555,0.6772399316850591
2019mikng,12.462181187531659,18.408202893971236,0.6769906470127551
2019camb,13.561314531914077,20.232635946087623,0.6702692900742092
2019inwla,18.038508603304848,27.35319617052925,0.6594662097564968
2019mimil,18.73648549859554,28.437835308192987,0.6588576554980444
2019utwv,16.147697163042903,24.744748931977412,0.652570660847376
2019cada,16.416379860937003,25.156887264719483,0.6525600599228212
2019qcmo,11.864373513332094,18.213193234932184,0.6514164408345866
2019casj,15.188547360558541,23.352988927624004,0.6503898669087351
2019code,16.655516338285807,25.658813676364993,0.6491148245730332
2019idbo,21.129028500988717,32.61602131784174,0.6478113407851691
2019caoc,16.574366003519533,25.612063925003927,0.6471312133239958
2019ncwak,18.960075872712743,29.344331179197738,0.6461239738922243
2019mxto,11.516311558430953,17.96101623760793,0.64118373961031
2019nytr,14.98753912261659,23.37938445978941,0.6410579007498639
2019miken,20.484526846545233,32.53900112710728,0.6295376667072974
2019onto1,14.670039839092407,23.669441907941206,0.6197881596088897
2019onnyo,11.896609385671088,19.509338701029854,0.6097904992055467
2019cafr,15.749219311025689,26.110821347926578,0.6031682841825392
