Team #,DP,DivDP,OPR,CCWM,Region
5472,29,29,157.2835044183017,157.2835044183017,Florida
5678,14,14,73.40944188793897,73.40944188793897,California
5985,13,13,111.36580827198419,111.36580827198419,Australia
6024,16,16,138.18573168409856,138.18573168409856,India
6072,26,26,95.27384569812217,95.27384569812217,California
6106,18,18,62.328045455915365,62.328045455915365,Mexico
6348,19,19,63.35960536978803,63.35960536978803,Mexico
6390,10,10,71.47763765312774,71.47763765312774,Canada
6459,3,3,6.138944524580705,6.138944524580705,Turkey
6652,11,11,42.13625454313483,42.13625454313483,Mexico
668,12,12,69.43487450979501,69.43487450979501,California
6887,11,11,75.77187073809347,75.77187073809347,PCH
6957,12,12,143.27997298989897,143.27997298989897,Nevada
6996,22,22,114.83031481714502,114.83031481714502,Australia
7018,6,6,38.02836858248699,38.02836858248699,Mexico
7081,8,8,90.61613782149135,90.61613782149135,China
7102,17,17,74.62492258629334,74.62492258629334,Mexico
7152,20,20,102.04258374590847,102.04258374590847,Florida
7193,7,7,40.90685523514177,40.90685523514177,Florida
7312,7,7,7.343259720408039,7.343259720408039,Texas
7327,6,6,49.42420809903108,49.42420809903108,California
972,13,13,93.55711922617749,93.55711922617749,California
1102,25,25,127.15317981854005,127.15317981854005,PCH
120,15,15,117.25461118106986,117.25461118106986,Ohio
1296,49,49,83.83588801568457,83.83588801568457,Texas
1318,22,22,174.57007522395602,174.57007522395602,PNW
1533,57,57,159.61394483592363,159.61394483592363,NC
1538,30,30,150.8991863282393,150.8991863282393,California
1744,9,9,84.03267449845328,84.03267449845328,Florida
1806,47,47,157.42888587917238,157.42888587917238,Missouri
2046,24,24,224.2045315208436,224.2045315208436,PNW
2059,15,15,134.06640508328567,134.06640508328567,NC
2102,33,33,139.45141408015388,139.45141408015388,California
2122,53,53,158.92048136170436,158.92048136170436,Idaho
2130,13,13,119.69440428493104,119.69440428493104,Idaho
2231,22,22,106.53099921740574,106.53099921740574,ISR
2341,13,13,95.43671133842847,95.43671133842847,Oklahoma
2471,33,33,165.75566244315095,165.75566244315095,PNW
2478,15,15,175.06991567103853,175.06991567103853,Arizona
2557,43,43,140.9826468572456,140.9826468572456,PNW
2630,26,26,142.9334976518196,142.9334976518196,ISR
2637,5,5,73.12956424251283,73.12956424251283,California
2642,37,37,142.46451004929352,142.46451004929352,NC
2655,51,51,96.30831206358503,96.30831206358503,NC
2658,9,9,83.06708398844063,83.06708398844063,California
2848,23,23,119.599460108757,119.599460108757,Texas
3218,14,14,105.80361592181532,105.80361592181532,PNW
3478,39,39,163.21106752428906,163.21106752428906,Mexico
3512,42,42,227.95031136444672,227.95031136444672,California
3593,11,11,38.10214178189966,38.10214178189966,Oklahoma
360,13,13,93.73484894233285,93.73484894233285,PNW
364,24,24,159.22391369078883,159.22391369078883,Mississippi
3663,16,16,165.1323579218708,165.1323579218708,PNW
3847,26,26,122.15950047013027,122.15950047013027,Texas
4146,22,22,99.88866698785361,99.88866698785361,Arizona
4189,15,15,119.30053421801708,119.30053421801708,PCH
4561,21,21,119.85654360491415,119.85654360491415,NC
4603,8,8,99.74234805635967,99.74234805635967,Mexico
4627,6,6,69.48464832472875,69.48464832472875,Canada
4698,11,11,71.25937254874626,71.25937254874626,California
4941,7,7,76.47781382115272,76.47781382115272,PCH
4984,12,12,65.31358145455613,65.31358145455613,California
5045,14,14,78.96870552547361,78.96870552547361,Tennessee
5344,11,11,76.71981740430357,76.71981740430357,Mexico
5417,11,11,71.95862541214076,71.95862541214076,Texas
